"";"rooms";"location";"condition";"m2";"type";"price"
"202";1,09861228866811;0;1;4,66343909411207;0;11,7943379244084
"203";0;1;1;4,02535169073515;0;10,6213273456864
"204";0;1;1;3,97029191355212;0;10,5966347330961
"205";0,693147180559945;1;1;4,24849524204936;0;10,9767820332199
"207";0;0;1;3,95124371858143;0;10,77895628989
"208";0;0;1;4,0943445622221;0;10,9767820332199
"209";1,09861228866811;1;0;4,15888308335967;1;11,1124478983731
"211";0;0;1;3,98898404656427;0;10,6904437867741
"212";0;0;1;3,97029191355212;0;10,6611576291116
"213";0,693147180559945;0;1;4,17438726989564;0;10,7452055889048
"214";1,09861228866811;0;1;4,43081679884331;0;10,9626310972939
"215";1,09861228866811;0;1;4,53259949315326;0;11,058999888337
"216";0,693147180559945;0;1;4,27666611901606;0;10,8419506506754
"217";0,693147180559945;0;1;4,30406509320417;0;10,8746641178946
